source,actual_label,url
manual_legitimate,1,https://www.google.com
manual_legitimate,1,https://www.google.com/
manual_legitimate,1,https://www.openai.com/research
manual_legitimate,1,https://www.microsoft.com/
manual_legitimate,1,https://www.apple.com/
manual_legitimate,1,https://www.amazon.com/
manual_legitimate,1,https://www.wikipedia.org/
manual_legitimate,1,https://github.com/
manual_legitimate,1,https://www.linkedin.com/
manual_legitimate,1,https://www.bbc.com/
manual_legitimate,1,https://www.nhs.uk/
manual_legitimate,1,https://www.gov.uk/
manual_legitimate,1,https://www.roehampton.ac.uk/
manual_legitimate,1,https://www.office.com/
manual_legitimate,1,https://www.paypal.com/
manual_legitimate,1,https://www.netflix.com/
manual_legitimate,1,https://www.bbc.co.uk/news
manual_legitimate,1,https://www.coursera.org/
manual_legitimate,1,https://www.kaggle.com/
manual_legitimate,1,https://www.cloudflare.com/
combined_test_phishing,0,http://www.shprakserf.gq
combined_test_phishing,0,https://liuy-9a930.web.app/
combined_test_phishing,0,http://www.komaru.today
combined_test_phishing,0,http://www.nextraload.com
combined_test_phishing,0,https://metafb-tvz6efk.web.app/
combined_test_phishing,0,http://www.httpzen.fairhash.org
combined_test_phishing,0,https://ggsexpole.web.app/
combined_test_phishing,0,https://ormvoixregl1.firebaseapp.com/
combined_test_phishing,0,http://www.a0646498.xsph.ru
combined_test_phishing,0,https://helpadcase1002405739503874569.web.app/
combined_test_phishing,0,https://www.dlrect-smtb.jp.ap1.ib.commetryx.com/ibg/client/index_sp.php
combined_test_phishing,0,https://ipfs.io/ipfs/bafybeidmmks6ka5vki6djnohox7mminfrzcjkw2mowpft7xtu2sjyxzi64/ufx!xch@
combined_test_phishing,0,http://www.constructiongst.com
combined_test_phishing,0,https://syk1pe9wox.firebaseapp.com/
combined_test_phishing,0,http://glaze-maple-pantry.glitch.me/link.html
combined_test_phishing,0,http://www.pwuxmeudaj.cf
combined_test_phishing,0,http://forcedie17.temp.swtest.ru/postounatou/postounatou/post/login/login.php
combined_test_phishing,0,https://acesseonline-fevereiro.net/luiza/?userid=&uri=atzkkwfy5s23fyuju9p+tmvfudyjnultmi2mrlcv9tg=
combined_test_phishing,0,https://att-104569.weeblysite.com/
combined_test_phishing,0,https://visualize-detalhes-online.com/luiza/?userid=13&amp;uri=xudbvbjytdk
