source,actual_label,url
manual_legitimate,1,https://www.google.com
manual_legitimate,1,https://www.google.com/
manual_legitimate,1,https://www.openai.com/research
manual_legitimate,1,https://www.microsoft.com/
manual_legitimate,1,https://www.apple.com/
manual_legitimate,1,https://www.amazon.com/
manual_legitimate,1,https://www.wikipedia.org/
manual_legitimate,1,https://github.com/
manual_legitimate,1,https://www.linkedin.com/
manual_legitimate,1,https://www.bbc.com/
manual_legitimate,1,https://www.nhs.uk/
manual_legitimate,1,https://www.gov.uk/
manual_legitimate,1,https://www.roehampton.ac.uk/
manual_legitimate,1,https://www.office.com/
manual_legitimate,1,https://www.paypal.com/
manual_legitimate,1,https://www.netflix.com/
manual_legitimate,1,https://www.bbc.co.uk/news
manual_legitimate,1,https://www.coursera.org/
manual_legitimate,1,https://www.kaggle.com/
manual_legitimate,1,https://www.cloudflare.com/
heldout_phishing_main,0,http://www.f0531200.xsph.ru
heldout_phishing_main,0,http://www.alfacars-airport.com
heldout_phishing_main,0,http://www.amazceozm-co-jp.amazzeocn.bhouhje2qwhhjyz8.shop/
heldout_phishing_main,0,https://uniquelyoursug.com/cgbin/ov6/#accounts@centrica.com
heldout_phishing_main,0,http://www.ytrb.nowurl.fun
heldout_phishing_main,0,http://www.eblaghyeh-s.cf
heldout_phishing_main,0,http://www.smartsystems.su
heldout_phishing_legitphish,0,http://185.243.136.98:32845/Mozi.m
heldout_phishing_legitphish,0,http://117.235.56.237:34717/i
heldout_phishing_legitphish,0,http://malw.esalesin.com/malesa/66ff98e94417e_xin.exe
heldout_phishing_legitphish,0,http://209.141.42.202/mpsl
heldout_phishing_legitphish,0,http://123.10.14.179:57729/Mozi.m
heldout_phishing_legitphish,0,http://64.235.37.148/bins/k.arm6
heldout_phishing_legitphish,0,http://125.41.4.32:38185/i
heldout_phishing_phishstorm,0,www.gunnewsdaily.com/images/stories/fruit/bbupdate.php
heldout_phishing_phishstorm,0,paypal.cgi-bin.update.herf.secure.cente.5885d80a13c0db1f8e263663d3faee8d8494db9703d295b4a211r.buenosdeseos.cl/href/secure/center/update/limit/seccure/570bddbd287290564db29681ffbbbd36/
heldout_phishing_phishstorm,0,www.miraflor.be/modules/mod_end/inforead.php
heldout_phishing_phishstorm,0,'informationconcernant.x11s.org/verifier/etap1.html?u=xhttp:\%2F\%2Fwww.visaeurope.fr\%2Fespace-client\%2Fmes-donnees-personnelles\%3Frpsnv='
heldout_phishing_phishstorm,0,bradtsics.com/ZGw2a2J3QGFyY29yLmRl/DEsdR/cgiTb21u8xhsr4zc6e
heldout_phishing_phishstorm,0,www.adelahotel.com.tr//window.php
