rank,training_scenario,model,model_file,total_correct,accuracy,legit_correct,legit_false_positives,phishing_correct,phishing_false_negatives,google_no_slash_prediction,google_slash_prediction,openai_research_prediction,false_positive_urls,false_negative_urls
1,legitphish,Logistic Regression,machine_learning/trained_models/2_cross_dataset_generalisation/logistic_regression_T_ON_legitphish_80_20.joblib,40,1.0,20,0,20,0,legitimate,legitimate,legitimate,,
2,legitphish,Linear SVM,machine_learning/trained_models/2_cross_dataset_generalisation/linear_svm_T_ON_legitphish_80_20.joblib,39,0.975,20,0,19,1,legitimate,legitimate,legitimate,,https://uniquelyoursug.com/cgbin/ov6/#accounts@centrica.com
3,legitphish,Decision Tree,machine_learning/trained_models/2_cross_dataset_generalisation/decision_tree_T_ON_legitphish_80_20.joblib,38,0.95,18,2,20,0,legitimate,legitimate,legitimate,https://www.roehampton.ac.uk/; https://www.bbc.co.uk/news,
4,legitphish,XGBoost,machine_learning/trained_models/2_cross_dataset_generalisation/xgboost_T_ON_legitphish_80_20.joblib,38,0.95,18,2,20,0,legitimate,legitimate,legitimate,https://www.roehampton.ac.uk/; https://www.bbc.co.uk/news,
5,combined_dataset,Logistic Regression,machine_learning/trained_models/2_cross_dataset_generalisation/logistic_regression_T_ON_combined_dataset_80_20.joblib,37,0.925,20,0,17,3,legitimate,legitimate,legitimate,,www.gunnewsdaily.com/images/stories/fruit/bbupdate.php; www.miraflor.be/modules/mod_end/inforead.php; www.adelahotel.com.tr//window.php
6,combined_dataset,Linear SVM,machine_learning/trained_models/2_cross_dataset_generalisation/linear_svm_T_ON_combined_dataset_80_20.joblib,36,0.9,20,0,16,4,legitimate,legitimate,legitimate,,www.gunnewsdaily.com/images/stories/fruit/bbupdate.php; www.miraflor.be/modules/mod_end/inforead.php; bradtsics.com/ZGw2a2J3QGFyY29yLmRl/DEsdR/cgiTb21u8xhsr4zc6e; www.adelahotel.com.tr//window.php
7,legitphish,Random Forest,machine_learning/trained_models/2_cross_dataset_generalisation/random_forest_T_ON_legitphish_80_20.joblib,36,0.9,16,4,20,0,legitimate,legitimate,legitimate,https://www.nhs.uk/; https://www.gov.uk/; https://www.roehampton.ac.uk/; https://www.bbc.co.uk/news,
8,phishstorm,Logistic Regression,machine_learning/trained_models/2_cross_dataset_generalisation/logistic_regression_T_ON_phishstorm_80_20.joblib,35,0.875,20,0,15,5,legitimate,legitimate,legitimate,,http://www.f0531200.xsph.ru; http://www.alfacars-airport.com; http://www.ytrb.nowurl.fun; www.gunnewsdaily.com/images/stories/fruit/bbupdate.php; www.adelahotel.com.tr//window.php
9,phishstorm,Linear SVM,machine_learning/trained_models/2_cross_dataset_generalisation/linear_svm_T_ON_phishstorm_80_20.joblib,33,0.825,20,0,13,7,legitimate,legitimate,legitimate,,http://www.f0531200.xsph.ru; http://www.alfacars-airport.com; http://www.ytrb.nowurl.fun; www.gunnewsdaily.com/images/stories/fruit/bbupdate.php; www.miraflor.be/modules/mod_end/inforead.php; bradtsics.com/ZGw2a2J3QGFyY29yLmRl/DEsdR/cgiTb21u8xhsr4zc6e; www.adelahotel.com.tr//window.php
10,phishstorm,XGBoost,machine_learning/trained_models/2_cross_dataset_generalisation/xgboost_T_ON_phishstorm_80_20.joblib,27,0.675,12,8,15,5,legitimate,legitimate,legitimate,https://www.microsoft.com/; https://www.wikipedia.org/; https://github.com/; https://www.linkedin.com/; https://www.roehampton.ac.uk/; https://www.netflix.com/; https://www.coursera.org/; https://www.cloudflare.com/,http://www.ytrb.nowurl.fun; http://malw.esalesin.com/malesa/66ff98e94417e_xin.exe; www.gunnewsdaily.com/images/stories/fruit/bbupdate.php; www.miraflor.be/modules/mod_end/inforead.php; www.adelahotel.com.tr//window.php
11,phishstorm,Decision Tree,machine_learning/trained_models/2_cross_dataset_generalisation/decision_tree_T_ON_phishstorm_80_20.joblib,23,0.575,6,14,17,3,phishing,phishing,legitimate,https://www.google.com; https://www.google.com/; https://www.microsoft.com/; https://www.amazon.com/; https://www.wikipedia.org/; https://github.com/; https://www.linkedin.com/; https://www.roehampton.ac.uk/; https://www.office.com/; https://www.paypal.com/; https://www.netflix.com/; https://www.coursera.org/; https://www.kaggle.com/; https://www.cloudflare.com/,http://malw.esalesin.com/malesa/66ff98e94417e_xin.exe; http://64.235.37.148/bins/k.arm6; www.gunnewsdaily.com/images/stories/fruit/bbupdate.php
12,phishstorm,Random Forest,machine_learning/trained_models/2_cross_dataset_generalisation/random_forest_T_ON_phishstorm_80_20.joblib,22,0.55,5,15,17,3,phishing,phishing,legitimate,https://www.google.com; https://www.google.com/; https://www.microsoft.com/; https://www.apple.com/; https://www.amazon.com/; https://www.wikipedia.org/; https://github.com/; https://www.linkedin.com/; https://www.bbc.com/; https://www.roehampton.ac.uk/; https://www.office.com/; https://www.paypal.com/; https://www.netflix.com/; https://www.coursera.org/; https://www.kaggle.com/,http://malw.esalesin.com/malesa/66ff98e94417e_xin.exe; www.gunnewsdaily.com/images/stories/fruit/bbupdate.php; www.adelahotel.com.tr//window.php
13,main_baseline_phiusiil,Decision Tree,machine_learning/trained_models/1a_train_on_main_test_on_main/decision_tree_T_ON_phiusiil_main_80_20.joblib,21,0.525,1,19,20,0,legitimate,phishing,phishing,https://www.google.com/; https://www.openai.com/research; https://www.microsoft.com/; https://www.apple.com/; https://www.amazon.com/; https://www.wikipedia.org/; https://github.com/; https://www.linkedin.com/; https://www.bbc.com/; https://www.nhs.uk/; https://www.gov.uk/; https://www.roehampton.ac.uk/; https://www.office.com/; https://www.paypal.com/; https://www.netflix.com/; https://www.bbc.co.uk/news; https://www.coursera.org/; https://www.kaggle.com/; https://www.cloudflare.com/,
14,main_baseline_phiusiil,Logistic Regression,machine_learning/trained_models/1a_train_on_main_test_on_main/logistic_regression_T_ON_phiusiil_main_80_20.joblib,21,0.525,1,19,20,0,legitimate,phishing,phishing,https://www.google.com/; https://www.openai.com/research; https://www.microsoft.com/; https://www.apple.com/; https://www.amazon.com/; https://www.wikipedia.org/; https://github.com/; https://www.linkedin.com/; https://www.bbc.com/; https://www.nhs.uk/; https://www.gov.uk/; https://www.roehampton.ac.uk/; https://www.office.com/; https://www.paypal.com/; https://www.netflix.com/; https://www.bbc.co.uk/news; https://www.coursera.org/; https://www.kaggle.com/; https://www.cloudflare.com/,
15,main_baseline_phiusiil,Random Forest,machine_learning/trained_models/1a_train_on_main_test_on_main/random_forest_T_ON_phiusiil_main_80_20.joblib,21,0.525,1,19,20,0,legitimate,phishing,phishing,https://www.google.com/; https://www.openai.com/research; https://www.microsoft.com/; https://www.apple.com/; https://www.amazon.com/; https://www.wikipedia.org/; https://github.com/; https://www.linkedin.com/; https://www.bbc.com/; https://www.nhs.uk/; https://www.gov.uk/; https://www.roehampton.ac.uk/; https://www.office.com/; https://www.paypal.com/; https://www.netflix.com/; https://www.bbc.co.uk/news; https://www.coursera.org/; https://www.kaggle.com/; https://www.cloudflare.com/,
